City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tsabong,-26.02,22.4,70.5,23,0,4.54,BW,1602652677
Barrow,71.29,-156.79,26.6,53,20,14.99,US,1602652465
Bela,25.93,81.98,89.13,57,81,6.91,IN,1602652678
Arraial do Cabo,-22.97,-42.03,73.04,89,12,27.65,BR,1602652679
Avarua,-21.21,-159.78,71.6,49,71,3.36,CK,1602652434
Fortuna,40.6,-124.16,63.0,93,20,3.36,US,1602652679
Carnarvon,-24.87,113.63,75.2,64,40,14.99,AU,1602652510
Chui,-33.7,-53.46,50.99,96,0,1.99,UY,1602652680
Kingston,18.0,-76.79,80.6,83,20,3.36,JM,1602652680
Mataura,-46.19,168.86,44.01,76,48,11.99,NZ,1602652680
Rājpīpla,21.87,73.5,84.2,58,92,5.82,IN,1602652680
Rikitea,-23.12,-134.97,73.56,76,74,17.34,PF,1602652681
Udimskiy,61.14,45.91,42.87,90,100,9.71,RU,1602652681
Teguise,29.06,-13.56,68.0,82,20,4.7,ES,1602652681
Bluff,-46.6,168.33,44.01,76,78,11.99,NZ,1602652681
Jamestown,42.1,-79.24,46.0,81,1,4.7,US,1602652440
Sol'-Iletsk,51.16,54.99,54.61,35,21,6.98,RU,1602652682
Hasaki,35.73,140.83,72.0,60,75,9.17,JP,1602652682
Cidreira,-30.18,-50.21,58.6,84,0,2.37,BR,1602652683
Mahébourg,-20.41,57.7,78.8,69,40,8.05,MU,1602652683
Sorong,-0.88,131.25,83.98,73,89,2.77,ID,1602652683
Kapaa,22.08,-159.32,80.6,69,40,10.29,US,1602652683
Butaritari,3.07,172.79,82.51,74,69,17.18,KI,1602652683
Lubbock,33.6,-101.83,73.4,27,1,14.99,US,1602652684
Atuona,-9.8,-139.03,78.04,76,78,20.07,PF,1602652685
Dali,25.7,100.18,72.61,60,12,2.66,CN,1602652685
Laas,46.62,10.7,34.0,86,5,6.93,IT,1602652685
Ushuaia,-54.8,-68.3,35.6,93,90,12.75,AR,1602652685
Saint-Philippe,-21.36,55.77,80.01,65,75,4.7,RE,1602652686
Clyde River,70.47,-68.59,24.8,100,90,6.93,CA,1602652686
Codrington,-38.27,141.97,69.06,74,100,6.8,AU,1602652686
Aksu,41.12,80.26,61.9,29,0,6.06,CN,1602652389
Bredasdorp,-34.53,20.04,50.0,87,33,3.36,ZA,1602652687
Hithadhoo,-0.6,73.08,83.16,72,100,9.46,MV,1602652504
Manta,-0.95,-80.73,73.4,78,40,5.82,EC,1602652687
Lagoa,39.05,-27.98,68.34,79,98,14.9,PT,1602652687
